"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.710069667E0,-3.109329939E-2,3.586321324E-2,5.147919059E-1
2.720013667E0,-6.370875984E-2,6.391455233E-2,5.034133196E-1
2.729958667E0,-9.256536514E-2,7.031451911E-2,4.954082370E-1
2.739903667E0,-1.107733920E-1,5.551186949E-2,4.866016805E-1
2.749847667E0,-1.169194281E-1,3.947379068E-2,4.712812603E-1
2.759792667E0,-1.086830720E-1,3.294398636E-2,4.487994015E-1
2.769737667E0,-9.657348692E-2,3.980826586E-2,4.271395504E-1
2.779681667E0,-8.908122033E-2,3.925352916E-2,4.082417786E-1
2.789626667E0,-8.969774842E-2,4.775911942E-2,4.001519382E-1
2.799571667E0,-8.088401705E-2,6.032338366E-2,4.101116359E-1
2.809515667E0,-6.789658219E-2,8.608599752E-2,4.162733853E-1
2.819460667E0,-6.512529403E-2,8.984904736E-2,4.101579785E-1
2.829405667E0,-5.486626551E-2,1.050636843E-1,3.805100620E-1
2.839349667E0,-3.391677514E-2,1.078259200E-1,3.496703804E-1
2.849294667E0,-9.303309023E-3,1.091692150E-1,3.086920679E-1
2.859239667E0,1.215111651E-2,9.236413240E-2,2.704360187E-1
2.869183667E0,2.489940077E-2,6.706889719E-2,2.325474918E-1
2.879128667E0,3.385428339E-2,5.504872650E-2,2.020047605E-1
2.889073667E0,3.185150027E-2,5.788984895E-2,1.760869175E-1
2.899017667E0,1.332308911E-2,5.167083442E-2,1.451753378E-1
2.908962667E0,-1.465591975E-2,4.184903949E-2,1.194818020E-1
2.918907667E0,-3.936339915E-2,4.856286943E-2,9.049196541E-2
2.928851667E0,-5.973921344E-2,5.673855171E-2,6.108754128E-2
2.938796667E0,-8.568400145E-2,5.402079597E-2,3.764213622E-2
2.948741667E0,-1.161224321E-1,2.559735812E-2,2.153804898E-2
2.958685667E0,-1.561473608E-1,-7.414120715E-3,4.785701632E-3
2.968630667E0,-1.835522652E-1,-4.490947351E-2,-1.698751748E-2
2.978575667E0,-1.957846880E-1,-6.115422025E-2,-4.215279222E-2
